id,date_created,title_en,category_en,subcategory_en,title_bm,category_bm,subcategory_bm,source,frequency,geography,demography,dataset_begin,dataset_end
gdp_annual_nominal_income,2024-05-19,Annual Nominal GDP by Income Component,National Accounts,Gross Domestic Product,KDNK Nominal Tahunan mengikut Komponen Pendapatan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2010,2025
gdp_annual_nominal_supply,2024-05-19,Annual Nominal GDP by Economic Sector,National Accounts,Gross Domestic Product,KDNK Nominal Tahunan mengikut Sektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2015,2025
gdp_annual_nominal_supply_granular,2024-05-19,Annual Nominal GDP by Economic Subsector,National Accounts,Gross Domestic Product,KDNK Nominal Tahunan mengikut Subsektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2015,2025
gdp_annual_real_demand,2024-05-19,Annual Real GDP by Expenditure Type,National Accounts,Gross Domestic Product,KDNK Sebenar Tahunan mengikut Jenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2015,2025
gdp_annual_real_demand_granular,2024-05-19,Annual Real GDP by Expenditure Subtype,National Accounts,Gross Domestic Product,KDNK Sebenar Tahunan mengikut Subjenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2015,2025
gdp_annual_real_supply,2024-05-19,Annual Real GDP by Economic Sector,National Accounts,Gross Domestic Product,KDNK Sebenar Tahunan mengikut Sektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2015,2025
gdp_annual_real_supply_granular,2024-05-19,Annual Real GDP by Economic Subsector,National Accounts,Gross Domestic Product,KDNK Sebenar Tahunan mengikut Subsektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2015,2025
gdp_district_real_supply,2024-05-19,Annual Real GDP by District & Economic Sector,National Accounts,Gross Domestic Product,KDNK Sebenar Tahunan mengikut Daerah & Sektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,"STATE, DISTRICT",,2015,2020
gdp_qtr_nominal_supply,2024-05-19,Quarterly Nominal GDP by Economic Sector,National Accounts,Gross Domestic Product,KDNK Nominal Suku Tahunan mengikut Sektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_nominal_supply_granular,2024-05-19,Quarterly Nominal GDP by Economic Subsector,National Accounts,Gross Domestic Product,KDNK Nominal Suku Tahunan mengikut Subsektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_nominal_demand,2024-05-19,Quarterly Nominal GDP by Expenditure Type,National Accounts,Gross Domestic Product,KDNK Nominal Suku Tahunan mengikut Jenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_nominal_demand_granular,2024-05-19,Quarterly Nominal GDP by Expenditure Subtype,National Accounts,Gross Domestic Product,KDNK Nominal Suku Tahunan mengikut Subjenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_state_real_supply,2024-05-19,Annual Real GDP by State & Economic Sector,National Accounts,Gross Domestic Product,KDNK Sebenar Tahunan mengikut Negeri & Sektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,STATE,,2015,2025
gdp_qtr_real_supply_granular,2024-05-19,Quarterly Real GDP by Economic Subsector,National Accounts,Gross Domestic Product,KDNK Sebenar Suku Tahunan mengikut Subsektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_real_sa_supply,2024-05-19,Quarterly Real GDP (Seasonally Adjusted) by Economic Sector,National Accounts,Gross Domestic Product,KDNK Sebenar Suku Tahunan (Terlaras secara Musim) mengikut Sektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_real_sa_demand,2024-05-19,Quarterly Real GDP (Seasonally Adjusted) by Expenditure Type,National Accounts,Gross Domestic Product,KDNK Sebenar Suku Tahunan (Terlaras secara Musim) mengikut Jenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_real_demand_granular,2024-05-19,Quarterly Real GDP by Expenditure Subtype,National Accounts,Gross Domestic Product,KDNK Sebenar Suku Tahunan mengikut Subjenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_real_demand,2024-05-19,Quarterly Real GDP by Expenditure Type,National Accounts,Gross Domestic Product,KDNK Sebenar Suku Tahunan mengikut Jenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_real_supply,2024-05-19,Quarterly Real GDP by Economic Sector,National Accounts,Gross Domestic Product,KDNK Sebenar Suku Tahunan mengikut Sektor Ekonomi,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_real_sa,2024-05-19,Quarterly Real GDP (Seasonally Adjusted),National Accounts,Gross Domestic Product,KDNK Sebenar Suku Tahunan (Terlaras secara Musim),Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_real,2024-05-19,Quarterly Real GDP,National Accounts,Gross Domestic Product,KDNK Sebenar Suku Tahunan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
gdp_qtr_nominal,2024-05-19,Quarterly Nominal GDP,National Accounts,Gross Domestic Product,KDNK Nominal Suku Tahunan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,QUARTERLY,NATIONAL,,2015,2026
registration_transactions_car,2024-05-25,Car Registration Transactions,Transportation,Vehicle Registrations,Transaksi Pendaftaran Kereta,Pengangkutan,Pendaftaran Kenderaan,"JPJ, MOT",DAILY,STATE,,2000,2026
sdg_10-c-1,2024-07-22,SDG 10-C-1: Remittance Costs as a % of the Amount Remitted,Statistical Indicators,SDG Indicators,SDG 10-C-1: Kos Kiriman Wang sebagai % Jumlah Dikirim,Indikator Statistik,Indikator SDG,"DOSM, BNM",ANNUAL,NATIONAL,,2016,2022
blood_donations,2024-07-24,Daily Blood Donations by Blood Group,Healthcare,Healthcare Programs,Pendermaan Darah Harian mengikut Kumpulan Darah,Kesihatan,Program Kesihatan,"PDN, MOH",DAILY,NATIONAL,,2006,2024
blood_donations_state,2024-07-24,Daily Blood Donations by Blood Group & State,Healthcare,Healthcare Programs,Pendermaan Darah Harian mengikut Kumpulan Darah & Negeri,Kesihatan,Program Kesihatan,"PDN, MOH",DAILY,STATE,,2006,2024
government_apps,2024-07-24,Transactional Data: Official Government Mobile Applications,Public Administration,Digital Services,Data Transaksi: Aplikasi Mudah Alih Rasmi Kerajaan,Pentadbiran Awam,Perkhidmatan Digital,"JDN, KD",MONTHLY,NATIONAL,,2015,2026
government_apps_reviews,2024-07-24,Transactional Data: User Reviews of Government Mobile Applications,Public Administration,Digital Services,Data Transaksi: Ulasan Pengguna bagi Aplikasi Mudah Alih Kerajaan,Pentadbiran Awam,Perkhidmatan Digital,"JDN, KD",MONTHLY,NATIONAL,,2015,2026
government_apps_active,2024-07-24,Number of Active Government Mobile Applications,Public Administration,Digital Services,Jumlah Aplikasi Mudah Alih Rasmi Kerajaan yang Aktif,Pentadbiran Awam,Perkhidmatan Digital,"JDN, KD",MONTHLY,NATIONAL,,2015,2026
covid_deaths_linelist,2024-07-24,Transactional Records: Deaths due to COVID-19,Healthcare,Infectious Diseases,Rekod Transaksi: Kematian disebabkan oleh COVID-19,Kesihatan,Penyakit Berjangkit,MOH,DAILY,"NATIONAL, STATE","SEX, AGE",2020,2024
organ_pledges_state,2024-07-24,Daily Organ Donation Pledges by State,Healthcare,Healthcare Programs,Ikrar Derma Organ Harian mengikut Negeri,Kesihatan,Program Kesihatan,"NTRC, MOH",DAILY,STATE,,2009,2024
organ_pledges,2024-07-24,Daily Organ Donation Pledges,Healthcare,Healthcare Programs,Ikrar Derma Organ Harian,Kesihatan,Program Kesihatan,"NTRC, MOH",DAILY,NATIONAL,,2009,2024
pekab40_screenings,2024-07-24,Daily PeKaB40 Health Screenings,Healthcare,Healthcare Programs,Saringan Kesihatan PeKaB40 Harian,Kesihatan,Program Kesihatan,"PHCorp, MOH",DAILY,NATIONAL,,2019,2024
pekab40_screenings_state,2024-07-24,Daily PeKaB40 Health Screenings by State,Healthcare,Healthcare Programs,Saringan Kesihatan PeKaB40 Harian mengikut Negeri,Kesihatan,Program Kesihatan,"PHCorp, MOH",DAILY,NATIONAL,,2019,2024
cosmetics_manufacturers,2024-07-26,Approved Manufacturers of Cosmetic Products,Healthcare,Regulation,Pengilang Produk Kosmetik Berlesen,Kesihatan,Kawal Selia,"NPRA, MOH",DAILY,NATIONAL,,2024,2024
pharmaceutical_importers,2024-07-26,Approved Importers of Pharmaceutical Products,Healthcare,Regulation,Pengimport Produk Farmaseutikal Berlesen,Kesihatan,Kawal Selia,"NPRA, MOH",DAILY,NATIONAL,,2024,2024
pharmaceutical_manufacturers,2024-07-26,Approved Manufacturers of Pharmaceutical Products,Healthcare,Regulation,Pengilang Produk Farmaseutikal Berlesen,Kesihatan,Kawal Selia,"NPRA, MOH",DAILY,NATIONAL,,2024,2024
pharmaceutical_wholesalers,2024-07-26,Approved Wholesalers of Pharmaceutical Products,Healthcare,Regulation,Pemborong Produk Farmaseutikal Berlesen,Kesihatan,Kawal Selia,"NPRA, MOH",DAILY,NATIONAL,,2024,2024
cosmetic_notifications_cancelled,2024-07-26,Cancelled Cosmetic Product Notifications,Healthcare,Regulation,Produk Komestik Dibatalkan Notifikasi,Kesihatan,Kawal Selia,"NPRA, MOH",DAILY,NATIONAL,,2024,2024
pharmaceutical_products,2024-07-26,Approved Pharmaceutical Products,Healthcare,Regulation,Produk Farmaseutikal Diluluskan,Kesihatan,Kawal Selia,"NPRA, MOH",DAILY,NATIONAL,,2024,2024
pharmaceutical_products_cancelled,2024-07-26,Cancelled Pharmaceutical Products,Healthcare,Regulation,Produk Farmaseutikal Dibatalkan Pendaftaran,Kesihatan,Kawal Selia,"NPRA, MOH",DAILY,NATIONAL,,2024,2024
cosmetic_notifications,2024-07-26,Notified Cosmetic Products,Healthcare,Regulation,Produk Komestik Bernotifikasi,Kesihatan,Kawal Selia,"NPRA, MOH",DAILY,NATIONAL,,2024,2024
arrivals_soe,2024-08-03,"Monthly Arrivals by State of Entry, Nationality & Sex",Demography,Migration,"Kemasukan Bulanan mengikut Negeri Pintu Masuk, Kewarganegaraan & Jantina",Demografi,Migrasi,Imigresen,MONTHLY,"NATIONAL, STATE","SEX, NATIONALITY",2020,2024
forest_reserve,2024-08-13,Area of Permanent Forest Reserves,Environment,Land Use,Keluasan Hutan Simpan Kekal,Alam Sekitar,Penggunaan Tanah,"Perhutanan, DOSM",YEARLY,NATIONAL,,2003,2021
forest_reserve_state,2024-08-13,Area of Permanent Forest Reserves by State,Environment,Land Use,Keluasan Hutan Simpan Kekal mengikut Negeri,Alam Sekitar,Penggunaan Tanah,"Perhutanan, DOSM",YEARLY,STATE,,2003,2021
electricity_supply,2024-09-12,Electricity Supply,Environment,Energy,Bekalan Elektrik,Alam Sekitar,Tenaga,"TNB, SESB, SWK-ENERGY, ST, DOSM",MONTHLY,NATIONAL,,2018,2024
electricity_consumption,2024-09-12,Monthly Electricity Consumption,Environment,Energy,Penggunaan Elektrik Bulanan,Alam Sekitar,Tenaga,"TNB, SESB, SWK-ENERGY, ST, DOSM",MONTHLY,NATIONAL,,2018,2024
air_pollution,2024-09-12,Monthly Air Pollution,Environment,Pollution,Pencemaran Udara Bulanan,Alam Sekitar,Pencemaran,"JAS, DOSM",MONTHLY,NATIONAL,,2017,2022
ghg_emissions,2024-09-12,Greenhouse Gas Emissions,Environment,Pollution,Pelepasan Gas Rumah Hijau,Alam Sekitar,Pencemaran,"NRES, DOSM",YEARLY,NATIONAL,,2014,2021
trade_sitc_1d,2024-09-13,Monthly Trade by SITC Section (1 digit),Economic Sectors,External Trade,Perdagangan Bulanan mengikut Seksyen SITC (1 digit),Sektor Ekonomi,Perdagangan Luar,DOSM,MONTHLY,NATIONAL,,2000,2026
bop_balance,2024-09-13,Balance of Key BOP Components,National Accounts,Balance of Payments,Baki Komponen Utama BOP,Akaun Negara,Imbangan Pembayaran,DOSM,QUARTERLY,NATIONAL,,2010,2026
fdi_flows,2024-09-13,Foreign Direct Investment (FDI) Flows,National Accounts,Balance of Payments,Aliran Pelaburan Langsung Asing (FDI),Akaun Negara,Imbangan Pembayaran,DOSM,QUARTERLY,NATIONAL,,2008,2025
state_finance_expenditure,2024-09-14,State Government Expenditure,Public Administration,Public Finance,Perbelanjaan Kerajaan Negeri,Pentadbiran Awam,Kewangan Awam,AUDIT,ANNUAL,STATE,,2022,2022
state_finance_revenue,2024-09-14,State Government Revenue,Public Administration,Public Finance,Hasil Kerajaan Negeri,Pentadbiran Awam,Kewangan Awam,AUDIT,ANNUAL,STATE,,2022,2022
water_pollution_basin,2024-09-14,River Basin Pollution Monitoring,Environment,Pollution,Pemantauan Pencemaran Lembangan Sungai,Alam Sekitar,Pencemaran,JAS,YEARLY,NATIONAL,,2000,2021
hh_income_state,2024-09-15,Household Income by State,Households,Income,Pendapatan Isi Rumah Mengikut Negeri,Isi Rumah,Pendapatan,DOSM,YEARLY,STATE,,1970,2024
hh_income_district,2024-09-15,Household Income by Administrative District,Households,Income,Pendapatan Isi Rumah Mengikut Daerah Pentadbiran,Isi Rumah,Pendapatan,DOSM,YEARLY,DISTRICT,,2019,2024
hh_income,2024-09-15,Household Income,Households,Income,Pendapatan Isi Rumah,Isi Rumah,Pendapatan,DOSM,YEARLY,NATIONAL,,1970,2024
hh_poverty,2024-09-15,Poverty,Households,Poverty,Kemiskinan,Isi Rumah,Kemiskinan,DOSM,YEARLY,NATIONAL,,1970,2024
hh_poverty_state,2024-09-15,Poverty by State,Households,Poverty,Kemiskinan Mengikut Negeri,Isi Rumah,Kemiskinan,DOSM,YEARLY,STATE,,1970,2024
hh_poverty_district,2024-09-15,Poverty by Administrative District,Households,Poverty,Kemiskinan mengikut Daerah Pentadbiran,Isi Rumah,Kemiskinan,DOSM,YEARLY,DISTRICT,,2019,2024
hh_inequality,2024-09-15,Income Inequality,Households,Inequality,Ketidaksamarataan Pendapatan,Isi Rumah,Ketidaksamarataan,DOSM,YEARLY,NATIONAL,,1970,2024
nutrition_children_sex,2024-09-17,Nutritional Status of Children Under 5 by Sex,Healthcare,General Health,Status Nutrisi Kanak-Kanak bawah 5 Tahun mengikut Jantina,Kesihatan,Kesihatan Umum,MOH,YEARLY,NATIONAL,SEX,2019,2019
nutrition_children_strata,2024-09-17,Nutritional Status of Children Under 5 by Strata,Healthcare,General Health,Status Nutrisi Kanak-Kanak bawah 5 Tahun mengikut Strata,Kesihatan,Kesihatan Umum,MOH,YEARLY,NATIONAL,SEX,2019,2019
deaths_early_childhood_state_sex,2024-09-19,Annual Early Childhood Deaths by State & Sex,Demography,Deaths,Kematian Kanak-Kanak Tahunan mengikut Negeri & Jantina,Demografi,Kematian,"JPN, DOSM",YEARLY,NATIONAL,,2017,2024
deaths_early_childhood_state,2024-09-19,Annual Early Childhood Deaths by State,Demography,Deaths,Kematian Kanak-Kanak Tahunan mengikut Negeri,Demografi,Kematian,"JPN, DOSM",YEARLY,STATE,,2000,2024
deaths_early_childhood_sex,2024-09-19,Annual Early Childhood Deaths by Sex,Demography,Deaths,Kematian Kanak-Kanak Tahunan mengikut Jantina,Demografi,Kematian,"JPN, DOSM",YEARLY,NATIONAL,,2017,2024
deaths_early_childhood,2024-09-19,Annual Early Childhood Deaths,Demography,Deaths,Kematian Kanak-Kanak Tahunan,Demografi,Kematian,"JPN, DOSM",YEARLY,NATIONAL,,2000,2024
fertility_state,2024-09-19,TFR and ASFR by State,Demography,Fertility,TFR dan ASFR mengikut Negeri,Demografi,Kesuburan,DOSM,YEARLY,NATIONAL,,2001,2024
fertility,2024-09-19,TFR and ASFR,Demography,Fertility,TFR dan ASFR,Demografi,Kesuburan,DOSM,YEARLY,NATIONAL,,1958,2024
hh_inequality_state,2024-09-20,Income Inequality by State,Households,Inequality,Ketidaksamarataan Pendapatan mengikut Negeri,Isi Rumah,Ketidaksamarataan,DOSM,YEARLY,STATE,,1974,2024
hh_inequality_district,2024-09-20,Income Inequality by District,Households,Inequality,Ketidaksamarataan Pendapatan mengikut Daerah,Isi Rumah,Ketidaksamarataan,DOSM,YEARLY,DISTRICT,,2019,2024
hh_profile_state,2024-09-21,Number of Households and Living Quarters by State,Households,Profile,Bilangan Isi Rumah dan Tempat Kediaman mengikut Negeri,Isi Rumah,Profil,DOSM,YEARLY,STATE,,1970,2024
hh_profile,2024-09-21,Number of Households and Living Quarters,Households,Profile,Bilangan Isi Rumah dan Tempat Kediaman,Isi Rumah,Profil,DOSM,YEARLY,NATIONAL,,1970,2024
crops_district_production,2024-09-21,Crop Production by District,Economic Sectors,Agriculture,Pengeluaran Tanaman mengikut Daerah,Sektor Ekonomi,Pertanian,"MAFS, DOA, DOSM",YEARLY,DISTRICT,,2017,2017
crops_district_area,2024-09-21,Crop Area by District,Economic Sectors,Agriculture,Keluasan Tanaman mengikut Daerah,Sektor Ekonomi,Pertanian,"MAFS, DOA, DOSM",YEARLY,DISTRICT,,2017,2017
crops_state,2024-09-21,Crop Area and Production by State,Economic Sectors,Agriculture,Keluasan dan Pengeluaran Tanaman mengikut Negeri,Sektor Ekonomi,Pertanian,"MAFS, DOA, DOSM",YEARLY,"NATIONAL, STATE",,2017,2022
water_production,2024-09-22,Water Production by State,Environment,Water,Pengeluaran Air Mengikut Negeri,Alam Sekitar,Air,"SPAN, NRES, DOSM",ANNUAL,"NATIONAL, STATE",,2000,2022
water_consumption,2024-09-22,Water Consumption by State and Sector,Environment,Water,Penggunaan Air Mengikut Negeri dan Sektor,Alam Sekitar,Air,"SPAN, NRES, DOSM",ANNUAL,"NATIONAL, STATE",,2003,2022
timber_production,2024-09-23,Production of Major Timber Products by State,Economic Sectors,Agriculture,Pengeluaran Produk Utama Kayu mengikut Negeri,Sektor Ekonomi,Pertanian,"Perhutanan, DOSM",YEARLY,"NATIONAL, STATE",,2000,2021
fish_landings,2024-09-23,Monthly Landings of Marine Fish by State,Economic Sectors,Agriculture,Pendaratan Ikan Laut Bulanan mengikut Negeri,Sektor Ekonomi,Pertanian,Perikanan,MONTHLY,"NATIONAL, STATE",,2018,2023
mineral_extraction,2024-09-23,Extraction of Minerals by State and Commodity,Economic Sectors,Mining & Quarrying,Pengeluaran Mineral mengikut Negeri dan Komoditi,Sektor Ekonomi,Perlombongan & Pengkuarian,"JMG, DOSM",MONTHLY,"NATIONAL, STATE",,2016,2021
marriages_state_age,2024-09-25,Annual Marriage by State & Age Group,Demography,Marriage,Perkahwinan Tahunan mengikut Negeri & Kumpulan Umur,Demografi,Perkahwinan,DOSM,YEARLY,STATE,,2017,2022
marriages_state,2024-09-25,Annual Marriages by State,Demography,Marriage,Perkahwinan Tahunan mengikut Negeri,Demografi,Perkahwinan,DOSM,YEARLY,STATE,,2017,2022
marriages_age,2024-09-25,Annual Marriage by Age Group,Demography,Marriage,Perkahwinan Tahunan mengikut Kumpulan Umur,Demografi,Perkahwinan,DOSM,YEARLY,NATIONAL,,2017,2022
marriages,2024-09-25,Annual Marriages,Demography,Marriage,Perkahwinan Tahunan,Demografi,Perkahwinan,DOSM,YEARLY,NATIONAL,,2017,2022
sdg_16-2-2,2024-09-25,SDG 16-2-2: Victims of Human Trafficking,Statistical Indicators,SDG Indicators,SDG 16-2-2: Mangsa Pemerdagangan Manusia,Indikator Statistik,Indikator SDG,KDN,ANNUAL,NATIONAL,,2016,2022
prisoners_state,2024-09-25,Prisoners by State and Sex,Public Safety,Justice,Banduan mengikut Negeri dan Jantina,Keselamatan Awam,Keadilan,Penjara,YEARLY,"NATIONAL, STATE",SEX,2017,2022
prisoners_prison,2024-09-25,Prisoners by Prison Centre and Sex,Public Safety,Justice,Banduan mengikut Penjara dan Jantina,Keselamatan Awam,Keadilan,Penjara,YEARLY,"STATE, DISTRICT",SEX,2017,2022
sdg_16-1-1,2024-09-25,SDG 16-1-1: Victims of Intentional Homicide,Statistical Indicators,SDG Indicators,SDG 16-1-1: Mangsa Pembunuhan,Indikator Statistik,Indikator SDG,PDRM,ANNUAL,"NATIONAL, STATE",,2016,2022
parliament_sex,2024-09-25,Female Representation in Parliament,Public Administration,Public Service,Peratus Wanita dalam Parlimen,Pentadbiran Awam,Perkhidmatan Awam,Parlimen,ANNUAL,NATIONAL,SEX,2016,2022
local_authority_sex,2024-09-27,Female Representation in Local Authorities,Public Administration,Public Service,Perwakilan Wanita dalam Pihak Berkuasa Tempatan,Pentadbiran Awam,Perkhidmatan Awam,KPKT,ANNUAL,"STATE, DISTRICT",SEX,2019,2022
crime_district,2024-09-27,Crimes by District & Crime Type,Public Safety,Crime,Jenayah mengikut Daerah & Jenis Jenayah,Keselamatan Awam,Jenayah,"PDRM, DOSM",YEARLY,"NATIONAL, STATE, DISTRICT",,2016,2023
federal_budget_moe,2024-09-27,Annual Budget Allocation for the Ministry of Education,Public Administration,Public Finance,Peruntukan Belanjawan Tahunan bagi Kementerian Pendidikan,Pentadbiran Awam,Kewangan Awam,MOF,YEARLY,NATIONAL,,2015,2024
federal_budget_moh,2024-09-27,Annual Budget Allocation for the Ministry of Health,Public Administration,Public Finance,Peruntukan Belanjawan Tahunan bagi Kementerian Kesihatan,Pentadbiran Awam,Kewangan Awam,MOF,YEARLY,NATIONAL,,2015,2024
hospital_beds,2024-09-27,Hospital Beds by State and Hospital Type,Healthcare,Healthcare Infrastructure,Katil Hospital mengikut Negeri dan Jenis Hospital,Kesihatan,Infrastruktur Kesihatan,MOH,YEARLY,"NATIONAL, STATE, DISTRICT",,2015,2022
healthcare_staff,2024-09-27,Healthcare Staff by State and Staff Type,Healthcare,Healthcare Infrastructure,Kakitangan Kesihatan mengikut Negeri dan Jenis Kakitangan,Kesihatan,Infrastruktur Kesihatan,MOH,YEARLY,"NATIONAL, STATE",,2014,2022
water_access,2024-09-27,Access to Treated Water by State & Strata,Environment,Water,Akses ke Air Dirawat Mengikut Negeri & Strata,Alam Sekitar,Air,"SPAN, NRES",YEARLY,"NATIONAL, STATE",,2000,2022
sanitation_access,2024-09-27,Access to Sanitary Latrines by State,Healthcare,Healthcare Infrastructure,Akses kepada Tandas Sempurna mengikut Negeri,Kesihatan,Infrastruktur Kesihatan,MOH,YEARLY,"NATIONAL, STATE",,2000,2022
hh_access_amenities,2024-09-27,Access to Basic Amenities by State & District,Households,Basic Amenities,Akses kepada Kemudahan Asas mengikut Negeri & Daerah,Isi Rumah,Kemudahan Asas,DOSM,YEARLY,"STATE, DISTRICT",,2016,2024
electricity_access,2024-09-27,Households with Access to Electricity,Environment,Energy,Isi Rumah dengan Akses ke Bekalan Elektrik,Alam Sekitar,Tenaga,"TNB, SESB, SWK-ENERGY, ST",YEARLY,NATIONAL,,2011,2021
sdg_04-6-1,2024-09-27,SDG 04-6-1: Proficiency in Functional Literacy and Numeracy,Statistical Indicators,SDG Indicators,SDG 04-6-1: Kemahiran Literasi dan Numerasi,Indikator Statistik,Indikator SDG,DOSM,YEARLY,"NATIONAL, STATE",,2016,2022
schools_district,2024-09-27,Public Education Institutions by District,Education,Education Infrastructure,Institusi Pendidikan Awam mengikut Daerah,Pendidikan,Infrastruktur Pendidikan,MOE,YEARLY,"NATIONAL, STATE, DISTRICT",,2017,2025
lecturers_uni,2024-09-27,Lecturers in Public Universities by Citizenship & Sex,Education,Education Infrastructure,Pensyarah di Universiti Awam mengikut Kewarganegaraan & Jantina,Pendidikan,Infrastruktur Pendidikan,MOHE,YEARLY,"NATIONAL, STATE","SEX, NATIONALITY",2014,2023
teachers_district,2024-09-27,Teachers in Government Schools by District,Education,Education Infrastructure,Guru di Sekolah Kerajaan mengikut Daerah,Pendidikan,Infrastruktur Pendidikan,MOE,YEARLY,"NATIONAL, STATE, DISTRICT",SEX,2017,2025
completion_school_state,2024-09-27,School Completion Rates by State,Education,Education Outcomes,Kadar Tamat Pengajian Sekolah mengikut Negeri,Pendidikan,Prestasi Pendidikan,MOE,YEARLY,"NATIONAL, STATE",SEX,2016,2022
enrolment_school_district,2024-09-27,Enrolment in Government Schools by District,Education,Education Outcomes,Enrolmen di Sekolah Kerajaan mengikut Daerah,Pendidikan,Prestasi Pendidikan,MOE,YEARLY,"NATIONAL, STATE, DISTRICT",SEX,2017,2025
sdg_03-3-1,2024-09-28,"SDG 03-3-1: HIV Incidence per 1,000 Uninfected Population",Statistical Indicators,SDG Indicators,"SDG 03-3-1: Insiden HIV per 1,000 Penduduk Tidak dijangkiti",Indikator Statistik,Indikator SDG,MOH,YEARLY,NATIONAL,SEX,2016,2022
std_state,2024-09-28,Sexually Transmitted Diseases (STDs) by State,Healthcare,Infectious Diseases,Jangkitan Transmisi Seksual (STD) mengikut Negeri,Kesihatan,Penyakit Berjangkit,MOH,YEARLY,"NATIONAL, STATE",,2017,2022
mnha,2024-11-12,MNHA: Total (TEH) and Current (CHE) Expenditure on Health,Healthcare,Healthcare Accounts,MNHA: Perbelanjaan Kesihatan Keseluruhan (TEH) dan Semasa (CHE),Kesihatan,Akaun Kesihatan,MOH,ANNUAL,NATIONAL,,2013,2022
mnha_moh,2024-11-12,MNHA: MOH Expenditure on Health,Healthcare,Healthcare Accounts,MNHA: Perbelanjaan Kesihatan oleh KKM,Kesihatan,Akaun Kesihatan,MOH,ANNUAL,NATIONAL,,2013,2022
employment_sector,2024-11-27,Employment by MSIC Sector and Sex,Labour Markets,Labour Force Survey,Pekerjaan Mengikut Sektor MSIC dan Jantina,Pasaran Buruh,Survei Tenaga Buruh,DOSM,ANNUAL,NATIONAL,,2001,2022
infant_immunisation,2024-11-27,Infant Immunisation Coverage,Healthcare,Healthcare Programs,Liputan Imunisasi Bayi,Kesihatan,Program Kesihatan,MOH,ANNUAL,NATIONAL,,2000,2023
cellular_subscribers,2024-11-27,Cellular Subscribers by Plan Type,Communications,Telecommunications,Pelanggan Selular Mengikut Jenis Pelan,Komunikasi,Telekomunikasi,MCMC,ANNUAL,NATIONAL,,2000,2021
passports,2024-12-05,Monthly Passport Issuances by State and Branch,Demography,Migration,Pengeluaran Pasport Bulanan mengikut Negeri dan Cawangan,Demografi,Migrasi,Imigresen,MONTHLY,"NATIONAL, STATE",,2020,2024
domains,2025-01-24,Number of Registered .MY Domains,Public Administration,Digital Infrastructure,Bilangan Pendaftaran Domain .MY,Pentadbiran Awam,Infrastruktur Digital,"MYNIC, KD",MONTHLY,NATIONAL,,2007,2025
domains_ipv6,2025-01-24,Number of Registered .MY Domains with IPv6 DNS,Public Administration,Digital Infrastructure,Bilangan Pendaftaran Domain .MY dengan DNS IPv6,Pentadbiran Awam,Infrastruktur Digital,"MYNIC, KD",MONTHLY,NATIONAL,,2009,2024
