id,date_created,title_en,category_en,subcategory_en,title_bm,category_bm,subcategory_bm,source,frequency,geography,demography,dataset_begin,dataset_end
cpi_core_inflation,2023-11-22,Monthly Core CPI Inflation by Division (2-digit),Prices,Consumer Prices,Inflasi IHP Teras Bulanan mengikut Bahagian (2-digit),Harga,Harga Pengguna,DOSM,MONTHLY,NATIONAL,,2015,2026
cpi_annual_inflation,2023-11-22,Annual CPI Inflation by Division (2-digit),Prices,Consumer Prices,Inflasi IHP Tahunan mengikut Bahagian (2-digit),Harga,Harga Pengguna,DOSM,YEARLY,NATIONAL,,1961,2025
cpi_annual,2023-11-22,Annual CPI by Division (2-digit),Prices,Consumer Prices,IHP Tahunan mengikut Bahagian (2-digit),Harga,Harga Pengguna,DOSM,YEARLY,NATIONAL,,1960,2025
cpi_5d,2023-11-22,Monthly CPI by Subclass (5-digit),Prices,Consumer Prices,IHP Bulanan mengikut Subkelas (5-digit),Harga,Harga Pengguna,DOSM,MONTHLY,NATIONAL,,2010,2026
cpi_4d,2023-11-22,Monthly CPI by Class (4-digit),Prices,Consumer Prices,IHP Bulanan mengikut Kelas (4-digit),Harga,Harga Pengguna,DOSM,MONTHLY,NATIONAL,,2010,2026
cpi_3d,2023-11-22,Monthly CPI by Group (3-digit),Prices,Consumer Prices,IHP Bulanan mengikut Kumpulan (3-digit),Harga,Harga Pengguna,DOSM,MONTHLY,NATIONAL,,2010,2026
cpi_core,2023-11-22,Monthly Core CPI by Division (2-digit),Prices,Consumer Prices,IHP Teras Bulanan mengikut Bahagian (2-digit),Harga,Harga Pengguna,DOSM,MONTHLY,NATIONAL,,2015,2026
ppi,2023-11-22,Monthly Producer Price Index (PPI),Prices,Producer Prices,Indeks Harga Pengeluar (IHPR) Bulanan,Harga,Harga Pengeluar,DOSM,MONTHLY,NATIONAL,,2010,2026
ppi_1d,2023-11-22,Monthly PPI by Section (1 digit),Prices,Producer Prices,IHPR Bulanan mengikut Seksyen (1 digit),Harga,Harga Pengeluar,DOSM,MONTHLY,NATIONAL,,2010,2026
ipi_5d,2023-11-22,IPI by Item (5 digit),Economic Sectors,Manufacturing,IPP mengikut Item (5 digit),Sektor Ekonomi,Pembuatan,DOSM,MONTHLY,NATIONAL,,2015,2024
ppi_2d,2023-11-22,Monthly PPI by Division (2 digit),Prices,Producer Prices,IHPR Bulanan mengikut Bahagian (2 digit),Harga,Harga Pengeluar,DOSM,MONTHLY,NATIONAL,,2010,2026
ppi_3d,2023-11-22,Monthly PPI by Group (3 digit),Prices,Producer Prices,IHPR Bulanan mengikut Kumpulan (3 digit),Harga,Harga Pengeluar,DOSM,MONTHLY,NATIONAL,,2010,2026
ipi_domestic,2023-11-22,IPI for Domestic-Oriented Divisions (2 digit),Economic Sectors,Manufacturing,IPP bagi Bahagian Berorientasikan Domestik (2 digit),Sektor Ekonomi,Pembuatan,DOSM,MONTHLY,NATIONAL,,2015,2024
ppi_sop,2023-11-22,Monthly PPI by Stage of Processing,Prices,Producer Prices,IHPR Bulanan mengikut Tahap Pemprosesan,Harga,Harga Pengeluar,DOSM,MONTHLY,NATIONAL,,2010,2026
ipi_3d,2023-11-22,IPI by Group (3 digit),Economic Sectors,Manufacturing,IPP mengikut Kumpulan (3 digit),Sektor Ekonomi,Pembuatan,DOSM,MONTHLY,NATIONAL,,2015,2024
ipi_export,2023-11-22,IPI for Export-Oriented Divisions (2 digit),Economic Sectors,Manufacturing,IPP bagi Bahagian Berorientasikan Eksport (2 digit),Sektor Ekonomi,Pembuatan,DOSM,MONTHLY,NATIONAL,,2015,2024
ipi_1d,2023-11-22,IPI by Section (1 digit),Economic Sectors,Manufacturing,IPP mengikut Seksyen (1 digit),Sektor Ekonomi,Pembuatan,DOSM,MONTHLY,NATIONAL,,2015,2024
ipi,2023-11-22,Industrial Production Index (IPI),Economic Sectors,Manufacturing,Indeks Pengeluaran Industri (IPP),Sektor Ekonomi,Pembuatan,DOSM,MONTHLY,NATIONAL,,2015,2024
ppi_sitc,2023-11-22,Monthly PPI by SITC Section (1 digit),Prices,Producer Prices,IHPR Bulanan mengikut Seksyen SITC (1 digit),Harga,Harga Pengeluar,DOSM,MONTHLY,NATIONAL,,2010,2026
iowrt,2023-11-22,Headline Wholesale & Retail Trade,Economic Sectors,Services,Perdagangan Borong & Runcit Keseluruhan,Sektor Ekonomi,Perkhidmatan,DOSM,MONTHLY,NATIONAL,,2018,2024
iowrt_2d,2023-11-22,Wholesale & Retail Trade by Division (2 digit),Economic Sectors,Services,Perdagangan Borong & Runcit mengikut Bahagian (2 digit),Sektor Ekonomi,Perkhidmatan,DOSM,MONTHLY,NATIONAL,,2018,2024
iowrt_3d,2023-11-22,Wholesale & Retail Trade by Group (3 digit),Economic Sectors,Services,Perdagangan Borong & Runcit mengikut Kumpulan (3 digit),Sektor Ekonomi,Perkhidmatan,DOSM,MONTHLY,NATIONAL,,2018,2024
ipi_2d,2023-11-22,IPI by Division (2 digit),Economic Sectors,Manufacturing,IPP mengikut Bahagian (2 digit),Sektor Ekonomi,Pembuatan,DOSM,MONTHLY,NATIONAL,,2015,2024
economic_indicators,2023-11-22,Malaysian Economic Indicators,Statistical Indicators,Economic Indicators,Indikator Ekonomi Malaysia,Indikator Statistik,Penunjuk Ekonomi,DOSM,MONTHLY,NATIONAL,,1991,2023
ridership_headline,2023-11-22,Daily Public Transport Ridership,Transportation,Ridership,Penggunaan Pengangkutan Awam Harian,Pengangkutan,Penggunaan,"Prasarana, MOT",DAILY,"NATIONAL, STATE",,2020,2023
covid_cases,2023-12-04,Daily COVID-19 Cases by State,Healthcare,Infectious Diseases,Kes COVID-19 Harian mengikut Negeri,Kesihatan,Penyakit Berjangkit,MOH,DAILY,"NATIONAL, STATE",,2020,2023
covid_cases_vaxstatus,2023-12-04,Daily COVID-19 Cases by Vaccination Status & State,Healthcare,Infectious Diseases,Kes COVID-19 Harian mengikut Status Vaksinasi & Negeri,Kesihatan,Penyakit Berjangkit,MOH,DAILY,"NATIONAL, STATE",,2020,2023
covid_cases_age,2023-12-05,Daily COVID-19 Cases by Age Group & State,Healthcare,Infectious Diseases,Kes COVID-19 Harian mengikut Kumpulan Umur & Negeri,Kesihatan,Penyakit Berjangkit,MOH,DAILY,"NATIONAL, STATE",,2020,2023
arrivals,2023-12-13,Monthly Arrivals by Nationality & Sex,Demography,Migration,Kemasukan Bulanan mengikut Kewarganegaraan & Jantina,Demografi,Migrasi,Imigresen,MONTHLY,NATIONAL,"SEX, NATIONALITY",2020,2024
vaxreg_covid_demog,2024-01-02,"Daily COVID-19 Vaccine Registrations by State, Sex & Age",Healthcare,Infectious Diseases,"Pendaftaran Vaksin COVID-19 Harian mengikut Negeri, Jantina & Umur",Kesihatan,Penyakit Berjangkit,MOH,DAILY,"NATIONAL, STATE","SEX, AGE",2021,2022
vaxreg_covid,2024-01-02,Daily COVID-19 Vaccine Registrations by State,Healthcare,Infectious Diseases,Pendaftaran Vaksin COVID-19 Harian mengikut Negeri,Kesihatan,Penyakit Berjangkit,MOH,DAILY,"NATIONAL, STATE",,2021,2022
lfs_year,2024-01-29,Annual Principal Labour Force Statistics,Labour Markets,Labour Force Survey,Statistik Tenaga Buruh Tahunan Utama,Pasaran Buruh,Survei Tenaga Buruh,DOSM,YEARLY,NATIONAL,,1982,2023
